Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDO23,Low Fat,Breads,OUT045,2002,Tier 2,Supermarket Type1,2174.5028
DRH01,Low Fat,Soft Drinks,OUT046,1997,Tier 1,Supermarket Type1,2085.2856
NCX29,Low Fat,Health and Hygiene,OUT049,1999,Tier 1,Supermarket Type1,3791.0652
FDV20,Regular,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,2797.6916
DRZ11,Regular,Soft Drinks,OUT018,2009,Tier 3,Supermarket Type2,1609.9044
FDX10,Regular,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,388.1614
FDB34,Low Fat,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,2180.495
FDU02,Low Fat,Dairy,OUT046,1997,Tier 1,Supermarket Type1,3435.528
FDK43,Low Fat,Meat,OUT013,1987,Tier 3,Supermarket Type1,2150.534
FDA46,Low Fat,Snack Foods,OUT049,1999,Tier 1,Supermarket Type1,2527.3768
FDC02,Low Fat,Canned,OUT018,2009,Tier 3,Supermarket Type2,6768.5228
FDL50,Regular,Canned,OUT013,1987,Tier 3,Supermarket Type1,373.5138
FDM39,Low Fat,Dairy,OUT010,1998,Tier 3,Grocery Store,358.2004
NCP05,Low Fat,Health and Hygiene,OUT045,2002,Tier 2,Supermarket Type1,2428.8384
FDV49,Low Fat,Canned,OUT045,2002,Tier 2,Supermarket Type1,5815.0972
FDL12,Regular,Baking Goods,OUT046,1997,Tier 1,Supermarket Type1,2576.646
FDS02,Regular,Dairy,OUT019,1985,Tier 1,Grocery Store,780.3176
NCL17,Low Fat,Health and Hygiene,OUT046,1997,Tier 1,Supermarket Type1,3134.5864
FDM40,Low Fat,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,850.8924
FDR13,Regular,Canned,OUT013,1987,Tier 3,Supermarket Type1,810.9444
FDA43,Low Fat,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,3121.2704
NCP18,Low Fat,Household,OUT017,2007,Tier 2,Supermarket Type1,4815.0656
FDK21,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,6258.52
NCX54,Low Fat,Household,OUT045,2002,Tier 2,Supermarket Type1,2117.244
DRK35,Low Fat,Hard Drinks,OUT049,1999,Tier 1,Supermarket Type1,796.9626
FDY21,Low Fat,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,4910.275
FDI26,Low Fat,Canned,OUT019,1985,Tier 1,Grocery Store,892.172
FDM20,Low Fat,Fruits and Vegetables,OUT018,2009,Tier 3,Supermarket Type2,3185.1872
FDV27,Regular,Meat,OUT045,2002,Tier 2,Supermarket Type1,1062.6168
FDF09,Low Fat,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,484.7024
FDY40,Regular,Frozen Foods,OUT019,1985,Tier 1,Grocery Store,147.8076
FDY45,Low Fat,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,2543.356
FDC46,Low Fat,Snack Foods,OUT010,1998,Tier 3,Grocery Store,184.4266
FDH19,Low Fat,Meat,OUT035,2004,Tier 2,Supermarket Type1,4865.6664
FDZ03,Regular,Dairy,OUT045,2002,Tier 2,Supermarket Type1,1118.544
DRH37,Low Fat,Soft Drinks,OUT045,2002,Tier 2,Supermarket Type1,2302.3364
NCI17,Low Fat,Health and Hygiene,OUT046,1997,Tier 1,Supermarket Type1,2027.361
FDJ58,Regular,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,3435.528
FDL12,Regular,Baking Goods,OUT013,1987,Tier 3,Supermarket Type1,599.22
FDH35,Low Fat,Starchy Foods,OUT045,2002,Tier 2,Supermarket Type1,4604.6728
FDG02,Low Fat,Canned,OUT017,2007,Tier 2,Supermarket Type1,2285.0256
NCZ18,low fat,Household,OUT049,1999,Tier 1,Supermarket Type1,5580.7356
FDC29,Regular,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,2290.352
FDQ10,Low Fat,Snack Foods,OUT049,1999,Tier 1,Supermarket Type1,1207.0954
FDN48,Low Fat,Baking Goods,OUT019,1985,Tier 1,Grocery Store,643.1628
FDL04,Low Fat,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,1587.933
FDV25,Low Fat,Canned,OUT045,2002,Tier 2,Supermarket Type1,5305.0944
FDD58,Low Fat,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,1697.79
FDN04,Regular,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,1427.4752
FDV45,low fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,4693.89
NCL18,Low Fat,Household,OUT019,1985,Tier 1,Grocery Store,583.2408
FDR12,Regular,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,3091.9752
FDG20,Regular,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,2479.4392
FDZ55,Low Fat,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,2716.464
FDQ49,Regular,Breakfast,OUT027,1985,Tier 3,Supermarket Type3,3285.723
FDN33,Regular,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,661.8052
FDN27,Low Fat,Meat,OUT049,1999,Tier 1,Supermarket Type1,1523.3504
FDW20,Low Fat,Fruits and Vegetables,OUT010,1998,Tier 3,Grocery Store,369.519
DRG27,Low Fat,Dairy,OUT049,1999,Tier 1,Supermarket Type1,690.4346
DRI25,Low Fat,Soft Drinks,OUT045,2002,Tier 2,Supermarket Type1,1381.535
FDA44,Low Fat,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,622.523
NCR17,Low Fat,Health and Hygiene,OUT035,2004,Tier 2,Supermarket Type1,1274.3412
FDU04,Low Fat,Frozen Foods,OUT019,1985,Tier 1,Grocery Store,487.3656
FDF41,Low Fat,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,1231.73
FDB56,Regular,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,3755.112
NCP18,Low Fat,Household,OUT027,1985,Tier 3,Supermarket Type3,4363.6532
FDB56,Regular,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,1314.2892
FDT28,Low Fat,Frozen Foods,OUT045,2002,Tier 2,Supermarket Type1,1805.6496
FDD10,Regular,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,2854.9504
FDW57,Regular,Snack Foods,OUT049,1999,Tier 1,Supermarket Type1,3896.2616
DRB48,Regular,Soft Drinks,OUT013,1987,Tier 3,Supermarket Type1,667.7974
FDP09,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,3185.853
FDH14,Regular,Canned,OUT013,1987,Tier 3,Supermarket Type1,2247.7408
FDA47,Regular,Baking Goods,OUT013,1987,Tier 3,Supermarket Type1,1794.331
FDG12,Regular,Baking Goods,OUT045,2002,Tier 2,Supermarket Type1,2530.7058
DRE60,low fat,Soft Drinks,OUT019,1985,Tier 1,Grocery Store,679.116
DRK49,Low Fat,Soft Drinks,OUT013,1987,Tier 3,Supermarket Type1,812.276
FDD03,Low Fat,Dairy,OUT046,1997,Tier 1,Supermarket Type1,699.09
FDS52,low fat,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,2732.4432
FDW39,Regular,Meat,OUT019,1985,Tier 1,Grocery Store,176.437
FDX34,Low Fat,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,4097.3332
FDV11,Regular,Breads,OUT045,2002,Tier 2,Supermarket Type1,3151.8972
FDD17,Low Fat,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,5942.265
FDZ16,Regular,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,4843.695
FDZ46,Low Fat,Snack Foods,OUT035,2004,Tier 2,Supermarket Type1,2542.0244
DRA12,Low Fat,Soft Drinks,OUT017,2007,Tier 2,Supermarket Type1,2552.6772
FDY58,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,1141.847
NCF19,Low Fat,Household,OUT017,2007,Tier 2,Supermarket Type1,680.4476
DRJ13,Low Fat,Soft Drinks,OUT045,2002,Tier 2,Supermarket Type1,2085.9514
FDB14,Regular,Canned,OUT010,1998,Tier 3,Grocery Store,186.424
FDJ38,Regular,Canned,OUT035,2004,Tier 2,Supermarket Type1,3036.048
FDW11,Low Fat,Breads,OUT017,2007,Tier 2,Supermarket Type1,866.8716
FDL40,Low Fat,Frozen Foods,OUT035,2004,Tier 2,Supermarket Type1,868.869
DRI49,Low Fat,Soft Drinks,OUT046,1997,Tier 1,Supermarket Type1,1137.1864
FDV38,Low Fat,Dairy,OUT017,2007,Tier 2,Supermarket Type1,928.1252
DRG23,Low Fat,Hard Drinks,OUT013,1987,Tier 3,Supermarket Type1,762.341
NCP30,Low Fat,Household,OUT045,2002,Tier 2,Supermarket Type1,707.0796
FDY25,Low Fat,Canned,OUT027,1985,Tier 3,Supermarket Type3,7968.2944
NCH54,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,1438.128
NCR53,Low Fat,Health and Hygiene,OUT027,1985,Tier 3,Supermarket Type3,6976.2524
FDS52,Low Fat,Frozen Foods,OUT010,1998,Tier 3,Grocery Store,101.2016
FDG02,Low Fat,Canned,OUT018,2009,Tier 3,Supermarket Type2,952.094
NCO26,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,1969.4364
FDH35,Low Fat,Starchy Foods,OUT027,1985,Tier 3,Supermarket Type3,5262.4832
FDB51,Low Fat,Dairy,OUT045,2002,Tier 2,Supermarket Type1,1314.2892
FDX44,Low Fat,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,535.3032
NCN07,Low Fat,Others,OUT010,1998,Tier 3,Grocery Store,263.6568
NCC31,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,1402.1748
NCX54,Low Fat,Household,OUT017,2007,Tier 2,Supermarket Type1,1693.7952
NCO55,Low Fat,Others,OUT045,2002,Tier 2,Supermarket Type1,2143.876
NCC30,Low Fat,Household,OUT049,1999,Tier 1,Supermarket Type1,2676.516
FDI16,Regular,Frozen Foods,OUT035,2004,Tier 2,Supermarket Type1,905.488
FDP16,Low Fat,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,7370.406
FDB11,Low Fat,Starchy Foods,OUT035,2004,Tier 2,Supermarket Type1,6301.1312
NCB06,Low Fat,Health and Hygiene,OUT035,2004,Tier 2,Supermarket Type1,1597.92
FDA45,Low Fat,Snack Foods,OUT035,2004,Tier 2,Supermarket Type1,529.311
NCO26,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,1969.4364
DRJ25,Low Fat,Soft Drinks,OUT017,2007,Tier 2,Supermarket Type1,1034.6532
FDR28,Regular,Frozen Foods,OUT018,2009,Tier 3,Supermarket Type2,1794.331
FDI04,Regular,Frozen Foods,OUT018,2009,Tier 3,Supermarket Type2,2768.3964
DRK12,Low Fat,Soft Drinks,OUT027,1985,Tier 3,Supermarket Type3,898.83
FDX20,Low Fat,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,3169.208
NCI18,Low Fat,Household,OUT018,2009,Tier 3,Supermarket Type2,3589.9936
FDB36,Regular,Baking Goods,OUT018,2009,Tier 3,Supermarket Type2,262.3252
FDN13,Low Fat,Breakfast,OUT017,2007,Tier 2,Supermarket Type1,1910.1802
DRD24,Low Fat,Soft Drinks,OUT017,2007,Tier 2,Supermarket Type1,1701.7848
FDQ28,Regular,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,2471.4496
FDM22,Regular,Snack Foods,OUT013,1987,Tier 3,Supermarket Type1,1331.6
FDR07,Low Fat,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,1808.9786
FDV25,Low Fat,Canned,OUT018,2009,Tier 3,Supermarket Type2,3315.684
DRF49,Low Fat,Soft Drinks,OUT046,1997,Tier 1,Supermarket Type1,2618.5914
FDW51,Regular,Meat,OUT046,1997,Tier 1,Supermarket Type1,2769.728
DRL01,Regular,Soft Drinks,OUT017,2007,Tier 2,Supermarket Type1,5375.0034
FDP25,Low Fat,Canned,OUT017,2007,Tier 2,Supermarket Type1,2838.9712
FDL50,Regular,Canned,OUT018,2009,Tier 3,Supermarket Type2,1743.0644
NCB30,Low Fat,Household,OUT027,1985,Tier 3,Supermarket Type3,5555.4352
FDW11,Low Fat,Breads,OUT018,2009,Tier 3,Supermarket Type2,619.194
NCM43,Low Fat,Others,OUT035,2004,Tier 2,Supermarket Type1,2120.573
FDK44,Low Fat,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,3823.0236
FDM15,Regular,Meat,OUT013,1987,Tier 3,Supermarket Type1,1360.2294
FDS31,Regular,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,3969.4996
FDI32,Low Fat,Fruits and Vegetables,OUT010,1998,Tier 3,Grocery Store,345.5502
FDR47,Low Fat,Breads,OUT010,1998,Tier 3,Grocery Store,585.2382
FDB35,Regular,Starchy Foods,OUT045,2002,Tier 2,Supermarket Type1,1010.6844
NCU05,Low Fat,Health and Hygiene,OUT010,1998,Tier 3,Grocery Store,161.1236
DRY23,Regular,Soft Drinks,OUT019,1985,Tier 1,Grocery Store,42.6112
FDO24,Low Fat,Baking Goods,OUT045,2002,Tier 2,Supermarket Type1,3010.7476
FDQ28,Regular,Frozen Foods,OUT027,1985,Tier 3,Supermarket Type3,6024.1584
FDV39,Low Fat,Meat,OUT045,2002,Tier 2,Supermarket Type1,988.713
NCO17,Low Fat,Health and Hygiene,OUT019,1985,Tier 1,Grocery Store,239.688
FDU50,Regular,Dairy,OUT013,1987,Tier 3,Supermarket Type1,1374.2112
FDT12,Regular,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,4739.8302
FDK58,Regular,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,1012.016
FDO08,Regular,Fruits and Vegetables,OUT019,1985,Tier 1,Grocery Store,657.8104
NCW29,Low Fat,Health and Hygiene,OUT049,1999,Tier 1,Supermarket Type1,778.986
FDE04,Regular,Frozen Foods,OUT045,2002,Tier 2,Supermarket Type1,2336.958
NCB19,Low Fat,Household,OUT049,1999,Tier 1,Supermarket Type1,2233.0932
FDV15,Low Fat,Meat,OUT049,1999,Tier 1,Supermarket Type1,1661.8368
FDL58,Regular,Snack Foods,OUT049,1999,Tier 1,Supermarket Type1,4745.8224
FDA08,Regular,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,3124.5994
FDT43,Low Fat,Fruits and Vegetables,OUT018,2009,Tier 3,Supermarket Type2,467.3916
NCX06,Low Fat,Household,OUT027,1985,Tier 3,Supermarket Type3,5070.7328
FDT20,Low Fat,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,540.6296
FDB41,Regular,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,992.7078
NCN55,Low Fat,Others,OUT049,1999,Tier 1,Supermarket Type1,6008.845
FDE40,Regular,Dairy,OUT027,1985,Tier 3,Supermarket Type3,2105.2596
FDX49,Regular,Canned,OUT027,1985,Tier 3,Supermarket Type3,5359.69
NCM53,Low Fat,Health and Hygiene,OUT045,2002,Tier 2,Supermarket Type1,745.696
FDE36,Regular,Baking Goods,OUT035,2004,Tier 2,Supermarket Type1,3275.736
FDN57,Low Fat,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,1701.7848
FDI24,Low Fat,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,6704.606
FDI19,Low Fat,Meat,OUT046,1997,Tier 1,Supermarket Type1,4119.9704
FDF24,Regular,Baking Goods,OUT010,1998,Tier 3,Grocery Store,327.5736
FDG52,Low Fat,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,780.9834
DRF36,Low Fat,Soft Drinks,OUT045,2002,Tier 2,Supermarket Type1,3630.6074
FDS45,Regular,Snack Foods,OUT019,1985,Tier 1,Grocery Store,317.5866
FDX40,Low Fat,Frozen Foods,OUT010,1998,Tier 3,Grocery Store,231.6984
DRK12,Low Fat,Soft Drinks,OUT035,2004,Tier 2,Supermarket Type1,133.16
DRC27,Low Fat,Dairy,OUT035,2004,Tier 2,Supermarket Type1,5650.6446
FDL58,Regular,Snack Foods,OUT017,2007,Tier 2,Supermarket Type1,2636.568
NCD30,Low Fat,Household,OUT045,2002,Tier 2,Supermarket Type1,1272.3438
NCZ54,Low Fat,Household,OUT010,1998,Tier 3,Grocery Store,324.9104
FDE10,Regular,Snack Foods,OUT010,1998,Tier 3,Grocery Store,131.1626
FDR44,Regular,Fruits and Vegetables,OUT010,1998,Tier 3,Grocery Store,260.9936
FDP28,Regular,Frozen Foods,OUT010,1998,Tier 3,Grocery Store,260.9936
FDX15,Low Fat,Meat,OUT013,1987,Tier 3,Supermarket Type1,3690.5294
FDA39,Low Fat,Meat,OUT035,2004,Tier 2,Supermarket Type1,1139.1838
FDY24,Regular,Baking Goods,OUT049,1999,Tier 1,Supermarket Type1,1995.4026
FDC60,Regular,Baking Goods,OUT017,2007,Tier 2,Supermarket Type1,1416.8224
FDH28,Regular,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,265.6542
FDT25,Low Fat,Canned,OUT017,2007,Tier 2,Supermarket Type1,3552.7088
DRJ13,Low Fat,Soft Drinks,OUT013,1987,Tier 3,Supermarket Type1,2406.867
NCO07,Low Fat,Others,OUT019,1985,Tier 1,Grocery Store,213.056
FDW20,Low Fat,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,2956.152
DRF27,Low Fat,Dairy,OUT019,1985,Tier 1,Grocery Store,153.134
FDS49,Low Fat,Canned,OUT035,2004,Tier 2,Supermarket Type1,1649.8524
FDX25,Low Fat,Canned,OUT027,1985,Tier 3,Supermarket Type3,3101.2964
NCX42,Low Fat,Household,OUT027,1985,Tier 3,Supermarket Type3,4769.1254
FDG33,Regular,Seafood,OUT027,1985,Tier 3,Supermarket Type3,3435.528
FDL56,Low Fat,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,1133.8574
FDF14,Low Fat,Canned,OUT035,2004,Tier 2,Supermarket Type1,2603.278
NCD06,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,605.878
DRM47,Low Fat,Hard Drinks,OUT027,1985,Tier 3,Supermarket Type3,2293.0152
FDS46,Regular,Snack Foods,OUT019,1985,Tier 1,Grocery Store,119.1782
FDB35,Regular,Starchy Foods,OUT013,1987,Tier 3,Supermarket Type1,1929.4884
FDX21,Low Fat,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,2074.6328
NCU05,Low Fat,Health and Hygiene,OUT027,1985,Tier 3,Supermarket Type3,241.6854
NCR38,Low Fat,Household,OUT045,2002,Tier 2,Supermarket Type1,6795.1548
NCR18,Low Fat,Household,OUT017,2007,Tier 2,Supermarket Type1,639.168
NCU41,Low Fat,Health and Hygiene,OUT035,2004,Tier 2,Supermarket Type1,3248.4382
FDY56,Regular,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,7222.5984
DRJ51,Low Fat,Dairy,OUT035,2004,Tier 2,Supermarket Type1,3225.1352
FDK21,Low Fat,Snack Foods,OUT035,2004,Tier 2,Supermarket Type1,3755.112
FDY25,Low Fat,Canned,OUT013,1987,Tier 3,Supermarket Type1,3440.8544
FDU44,Regular,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,974.7312
FDL43,Low Fat,Meat,OUT049,1999,Tier 1,Supermarket Type1,535.969
FDF05,Low Fat,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,5259.82
DRF15,Low Fat,Dairy,OUT019,1985,Tier 1,Grocery Store,306.268
FDL20,Low Fat,Fruits and Vegetables,OUT018,2009,Tier 3,Supermarket Type2,1779.0176
FDV32,Low Fat,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,759.012
FDJ34,Regular,Snack Foods,OUT013,1987,Tier 3,Supermarket Type1,1877.556
FDG08,Regular,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,3779.0808
FDQ04,Low Fat,Frozen Foods,OUT019,1985,Tier 1,Grocery Store,41.2796
FDW13,Low Fat,Canned,OUT017,2007,Tier 2,Supermarket Type1,259.662
NCI17,Low Fat,Health and Hygiene,OUT013,1987,Tier 3,Supermarket Type1,193.082
FDY03,Regular,Meat,OUT045,2002,Tier 2,Supermarket Type1,1687.803
FDS12,Low Fat,Baking Goods,OUT017,2007,Tier 2,Supermarket Type1,4655.9394
FDJ55,Regular,Meat,OUT013,1987,Tier 3,Supermarket Type1,4950.8888
DRK01,Low Fat,Soft Drinks,OUT035,2004,Tier 2,Supermarket Type1,1418.154
FDG28,Regular,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,1225.072
FDY38,Regular,Dairy,OUT045,2002,Tier 2,Supermarket Type1,5359.69
FDN01,Low Fat,Breakfast,OUT045,2002,Tier 2,Supermarket Type1,1764.37
NCR54,Low Fat,Household,OUT013,1987,Tier 3,Supermarket Type1,2553.343
FDG29,Low Fat,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,1006.6896
FDG24,Low Fat,Baking Goods,OUT013,1987,Tier 3,Supermarket Type1,1081.925
FDG59,Low Fat,Starchy Foods,OUT017,2007,Tier 2,Supermarket Type1,308.9312
FDM28,Low Fat,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,2516.724
FDW04,Regular,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,1428.141
FDS26,Low Fat,Dairy,OUT013,1987,Tier 3,Supermarket Type1,2093.2752
FDQ56,Low Fat,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,1929.4884
FDK51,Low Fat,Dairy,OUT035,2004,Tier 2,Supermarket Type1,5829.7448
FDL22,Low Fat,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,2082.6224
FDH19,Low Fat,Meat,OUT027,1985,Tier 3,Supermarket Type3,7298.4996
FDY55,Low Fat,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,7452.9652
FDY03,Regular,Meat,OUT017,2007,Tier 2,Supermarket Type1,450.0808
FDK21,Low Fat,Snack Foods,OUT010,1998,Tier 3,Grocery Store,500.6816
FDZ10,Low Fat,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,3668.558
FDZ32,Regular,Fruits and Vegetables,OUT018,2009,Tier 3,Supermarket Type2,736.3748
NCZ18,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,6088.0752
NCF07,Low Fat,Household,OUT027,1985,Tier 3,Supermarket Type3,2125.2336
DRE49,Low Fat,Soft Drinks,OUT017,2007,Tier 2,Supermarket Type1,2277.036
FDJ08,Low Fat,Fruits and Vegetables,OUT019,1985,Tier 1,Grocery Store,573.2538
FDT39,Regular,Meat,OUT035,2004,Tier 2,Supermarket Type1,2267.049
FDE08,Low Fat,Fruits and Vegetables,OUT010,1998,Tier 3,Grocery Store,296.9468
NCD06,Low Fat,Household,OUT018,2009,Tier 3,Supermarket Type2,559.272
FDB57,Regular,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,5559.43
NCT54,Low Fat,Household,OUT049,1999,Tier 1,Supermarket Type1,1237.7222
DRF49,Low Fat,Soft Drinks,OUT045,2002,Tier 2,Supermarket Type1,569.259
FDM25,Regular,Breakfast,OUT027,1985,Tier 3,Supermarket Type3,3866.9664
FDF20,low fat,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,1379.5376
FDH27,Low Fat,Dairy,OUT018,2009,Tier 3,Supermarket Type2,1869.5664
FDV60,Regular,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,5499.508
FDY59,Low Fat,Baking Goods,OUT049,1999,Tier 1,Supermarket Type1,925.462
FDK36,Low Fat,Baking Goods,OUT035,2004,Tier 2,Supermarket Type1,583.2408
NCM31,Low Fat,Others,OUT046,1997,Tier 1,Supermarket Type1,1418.154
FDE33,Regular,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,942.7728
FDU36,Low Fat,Baking Goods,OUT046,1997,Tier 1,Supermarket Type1,2364.9216
FDV13,Regular,Canned,OUT027,1985,Tier 3,Supermarket Type3,3251.7672
FDV20,Regular,Fruits and Vegetables,OUT019,1985,Tier 1,Grocery Store,254.3356
NCQ54,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,5895.659
FDO23,Low Fat,Breads,OUT018,2009,Tier 3,Supermarket Type2,1134.5232
DRE60,Low Fat,Soft Drinks,OUT045,2002,Tier 2,Supermarket Type1,7696.648
DRP47,Low Fat,Hard Drinks,OUT017,2007,Tier 2,Supermarket Type1,2775.7202
